land_id,side,signal,die_pad,land_x_mm,land_y_mm,die_x_um,die_y_um
R25,R,VDD12LED,R22,49.488,-0.594,7904.068,-2250.840
R26,R,VSSLED,R21,49.488,0.606,7904.068,-2137.039
R27,R,VDD08D_SNS,R20,49.488,1.806,7904.068,-2043.939
R28,R,VDD50LED,R19,49.488,3.006,7904.068,-1950.839
R29,R,VDD18LED,R18,49.488,4.206,7904.068,-1837.037
R30,R,VDDLED_SNS,R17,49.488,5.406,7904.068,-1743.914
R31,R,VDD08D,R16,49.488,6.606,7904.068,-1650.837
R32,R,VSS,R15,49.488,7.806,7904.068,-1537.036
R33,R,LED_I0_SNS,R14,49.488,9.006,7904.068,-1443.893
R34,R,VDD08,R13,49.488,10.206,7904.068,-1350.836
R35,R,TEST_LED_STRB0_CKOUT,R12,49.488,11.406,7904.068,-1237.034
R36,R,LED_I1_SNS,R11,49.488,12.606,7904.068,-1143.919
R37,R,TEST_TX_CKOUT,R10,49.488,13.806,7904.068,-1050.834
R38,R,VSS,R9,49.488,15.006,7904.068,-937.033
R39,R,VDD18C,R8,49.488,16.206,7904.068,-843.945
R40,R,LED_I0_CURRENT,R7,49.488,17.406,7904.068,-750.833
R41,R,VSS,R6,49.488,18.606,7904.068,-637.031
R42,R,VSSPST,R5,49.488,19.806,7904.068,-543.931
R43,R,VSS,R4,49.488,21.006,7904.068,-450.831
R44,R,VSS,R3,49.488,22.206,7904.068,-337.030
R45,R,VDDPST,R2,49.488,23.406,7904.068,-243.930
R46,R,VSS,R1,49.488,24.606,7904.068,-150.830
